contig	cluster	completeness	purity	taxid	superkingdom	phylum	class	order	family	genus	species	x	y
NODE_450_length_94773_cov_115.989	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.5370388	-7.6682179999999995
NODE_471_length_87997_cov_112.952	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.4863584	-7.6207285
NODE_480_length_86535_cov_112.859	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.2585718999999997	-7.402761
NODE_494_length_84336_cov_119.604	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.4137397000000003	-7.5489235
NODE_503_length_83204_cov_112.832	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-1.8760926	-7.1276660000000005
NODE_520_length_80246_cov_115.377	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.463428	-7.595406
NODE_521_length_80222_cov_115.622	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.3479574	-7.4869227
NODE_570_length_73550_cov_113.332	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-1.8528369999999998	-7.0564637
NODE_574_length_72634_cov_114.183	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-1.8602478999999998	-7.067903500000001
NODE_583_length_71963_cov_112.15	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.4936507000000003	-7.625096000000001
NODE_602_length_70070_cov_115.445	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.3057842	-7.450289
NODE_624_length_67388_cov_113.671	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-1.7834296000000003	-7.0141979999999995
NODE_662_length_62270_cov_116.149	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.4228756000000002	-7.5594196
NODE_692_length_58824_cov_114.206	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.0682783	-7.236166000000001
NODE_732_length_53812_cov_115.445	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.0416875	-7.214858
NODE_733_length_53716_cov_115.956	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.4442966	-7.576157000000001
NODE_764_length_51201_cov_118.398	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.066341	-7.2361070000000005
NODE_827_length_46939_cov_114.852	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.4211650000000002	-7.55254
NODE_840_length_46054_cov_121.411	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-1.9208908	-7.133567
NODE_866_length_43944_cov_112.993	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-1.9708843	-7.159028
NODE_872_length_43824_cov_114.205	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.4367802000000003	-7.5790462
NODE_913_length_41888_cov_115.667	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.4207964	-7.5564213
NODE_941_length_40195_cov_114.614	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-1.7535585	-6.993662
NODE_986_length_37455_cov_112.605	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.3308957	-7.469191599999999
NODE_991_length_37056_cov_113.16	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.4814575	-7.627815700000001
NODE_1002_length_36498_cov_113.011	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.5104074	-7.6382265
NODE_1033_length_34673_cov_118.731	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.440737	-7.574546300000001
NODE_1059_length_33279_cov_112.749	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.0586444999999998	-7.2086163
NODE_1070_length_32824_cov_119.567	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-1.790011	-7.0197573
NODE_1073_length_32656_cov_112.355	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.285217	-7.427061599999999
NODE_1147_length_29109_cov_112.475	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.4893336	-7.622580499999999
NODE_1183_length_27339_cov_115.04	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-1.7998914000000001	-7.0208125
NODE_1210_length_26361_cov_121.881	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.3820745999999997	-7.517825
NODE_1252_length_24746_cov_112.661	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.420008	-7.556047400000001
NODE_1263_length_24470_cov_119.501	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-1.9978371	-7.1846476
NODE_1302_length_23546_cov_115.519	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.2320178	-7.367779700000001
NODE_1315_length_23100_cov_112.978	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.290742	-7.4357576000000005
NODE_1361_length_21489_cov_112.007	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.3903098	-7.524700999999999
NODE_1393_length_20326_cov_113.47	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.5125268	-7.642649700000001
NODE_1436_length_19365_cov_114.039	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.466327	-7.596311999999999
NODE_1452_length_18968_cov_111.749	bin_0001	58.992805755395686	96.34146341463415	1501145	bacteria	cyanobacteria	unclassified	synechococcales	leptolyngbyaceae	neosynechococcus	neosynechococcus sphagnicola	-2.4518716	-7.5822625
NODE_1035_length_34616_cov_202.445	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-13.051677	-10.184161
NODE_1101_length_31191_cov_197.149	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.573339	-9.169627
NODE_1120_length_30081_cov_195.176	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.622347999999999	-9.683601
NODE_1222_length_25977_cov_180.859	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-13.03396	-10.213175999999999
NODE_1253_length_24721_cov_184.073	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.794236	-9.991871000000002
NODE_1269_length_24377_cov_200.012	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.990076	-10.247821
NODE_1295_length_23754_cov_205.457	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.741922	-10.1487465
NODE_1323_length_22841_cov_191.892	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-13.202023	-10.355157
NODE_1350_length_21921_cov_181.022	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.525914	-9.363807000000001
NODE_1351_length_21903_cov_181.885	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.509756	-9.034083
NODE_1398_length_20248_cov_188.969	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.739842	-9.45317
NODE_1402_length_20133_cov_189.604	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-13.042939	-10.431697
NODE_1427_length_19535_cov_185.348	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-13.014726	-10.5871315
NODE_1466_length_18570_cov_197.197	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.7186365	-9.799635
NODE_1506_length_17525_cov_191.276	bin_0002	89.20863309352518	96.77419354838709	1655593	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120619-bin3	-12.880821000000001	-9.167137
NODE_1533_length_17024_cov_179.593	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.931661	-10.157169999999999
NODE_1586_length_15818_cov_195.301	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.771405	-9.559304
NODE_1587_length_15817_cov_183.616	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.604455999999999	-9.495738000000001
NODE_1594_length_15707_cov_177.787	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.680241	-9.915085000000001
NODE_1611_length_15418_cov_209.426	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-13.207633	-10.310877
NODE_1619_length_15296_cov_191.737	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.713616	-9.841966000000001
NODE_1620_length_15288_cov_175.44	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-13.117885999999999	-10.311127
NODE_1627_length_15239_cov_192.275	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.56333	-9.480984
NODE_1632_length_15071_cov_198.512	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-13.136632	-10.420611
NODE_1659_length_14562_cov_201.464	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-13.289504999999998	-10.135885
NODE_1664_length_14513_cov_192.422	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.613584	-9.490642
NODE_1680_length_14345_cov_184.497	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.799719999999999	-9.861180000000001
NODE_1689_length_14130_cov_183.736	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.510266	-9.448269999999999
NODE_1696_length_13941_cov_204.558	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.821587	-9.615203999999999
NODE_1709_length_13592_cov_178.586	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-13.249305	-10.369216
NODE_1730_length_12914_cov_182.782	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.734803	-9.363641000000001
NODE_1731_length_12911_cov_202.488	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.664857000000001	-9.462991
NODE_1733_length_12902_cov_193.904	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.6503105	-10.018688000000001
NODE_1739_length_12846_cov_207.872	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-13.038997	-9.925543
NODE_1741_length_12814_cov_198.521	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.5633	-9.547975
NODE_1791_length_11977_cov_206.917	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-13.307064000000002	-10.313361
NODE_1817_length_11632_cov_205.404	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.989896	-9.132311999999999
NODE_1819_length_11546_cov_185.127	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.512939	-9.552355
NODE_1820_length_11528_cov_193.781	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.5836115	-9.131238
NODE_1843_length_11039_cov_215.326	bin_0002	89.20863309352518	96.77419354838709	1655593	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120619-bin3	-12.645417	-9.79588
NODE_1851_length_10863_cov_194.214	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.746971	-9.680117
NODE_1855_length_10810_cov_191.283	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.804432	-9.909194
NODE_1857_length_10797_cov_211.054	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.922653	-10.365611999999999
NODE_1859_length_10767_cov_197.189	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.73298	-9.653241
NODE_1860_length_10744_cov_179.391	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.896953	-9.96568
NODE_1862_length_10709_cov_145.573	bin_0002	89.20863309352518	96.77419354838709	1655593	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120619-bin3	-12.9007845	-10.286607
NODE_1868_length_10620_cov_194.669	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.729768	-9.760978999999999
NODE_1869_length_10599_cov_215.783	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.778008	-9.9781275
NODE_1871_length_10571_cov_198.208	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-13.148995000000001	-10.525996000000001
NODE_1872_length_10560_cov_197.375	bin_0002	89.20863309352518	96.77419354838709	1655593	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120619-bin3	-12.691310000000001	-9.19374
NODE_1875_length_10536_cov_160.233	bin_0002	89.20863309352518	96.77419354838709	1655593	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120619-bin3	-12.685678	-10.433591
NODE_1880_length_10465_cov_179.421	bin_0002	89.20863309352518	96.77419354838709	701176	bacteria	proteobacteria	gammaproteobacteria	vibrionales	vibrionaceae	vibrio	vibrio sp. n418	6.4897865999999995	-13.211292000000002
NODE_1897_length_10190_cov_191.52	bin_0002	89.20863309352518	96.77419354838709	1655593	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120619-bin3	-12.975674	-10.35951
NODE_1905_length_10049_cov_146.222	bin_0002	89.20863309352518	96.77419354838709	1400860	bacteria	proteobacteria	gammaproteobacteria	unclassified	candidatus competibacteraceae	candidatus contendobacter	candidatus contendobacter odensis	-5.6406584	-3.6411655
NODE_1911_length_9918_cov_202.886	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-13.185510999999998	-10.289259
NODE_1921_length_9799_cov_213.184	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.591947	-9.257277499999999
NODE_1927_length_9675_cov_196.374	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-13.130991	-10.419678999999999
NODE_1929_length_9652_cov_174.915	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.568093	-9.552747
NODE_1957_length_9239_cov_185.915	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.641679	-9.738878
NODE_1982_length_8834_cov_207.207	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.804169	-10.342842999999998
NODE_1986_length_8800_cov_144.813	bin_0002	89.20863309352518	96.77419354838709	368811	bacteria	proteobacteria	gammaproteobacteria	chromatiales	chromatiaceae	rheinheimera	rheinheimera perlucida	2.8460650000000003	-10.192319
NODE_1994_length_8669_cov_203.107	bin_0002	89.20863309352518	96.77419354838709	1655593	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120619-bin3	-12.393082000000001	-8.950301
NODE_1995_length_8662_cov_198.24	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.436121	-8.950503
NODE_1998_length_8613_cov_202.67	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-13.103442	-10.51407
NODE_2003_length_8561_cov_200.6	bin_0002	89.20863309352518	96.77419354838709	1655593	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120619-bin3	-12.67255	-9.631728
NODE_2008_length_8500_cov_197.197	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-13.328819000000001	-10.3911495
NODE_2010_length_8494_cov_170.73	bin_0002	89.20863309352518	96.77419354838709	1655577	bacteria	proteobacteria	gammaproteobacteria	unclassified	unclassified	unclassified	om182 bacterium bacl3 mag-120507-bin80	-12.54867	-9.0458555
